dataset,modelname,ablation,classifier,type,ari,nmi,accuracy,f1_macro,precision,recall
refmet_embeddings,sentence-transformers/all-mpnet-base-v2,noise,LR,0.1,,,0.3414826498422713,0.2805544676881865,0.33308064739078574,0.28013157894736845
refmet_embeddings,sentence-transformers/all-mpnet-base-v2,noise,MLP,0.1,,,0.305205047318612,0.24832706118944176,0.2894601875027611,0.24833333333333335
refmet_embeddings,sentence-transformers/all-mpnet-base-v2,noise,KMeans,0.3,0.0004982521029072356,0.03463809624563375,,,,
refmet_embeddings,sentence-transformers/all-mpnet-base-v2,noise,LR,0.3,,,0.10962145110410094,0.09030483815650425,0.10807830404878176,0.0899890350877193
refmet_embeddings,sentence-transformers/all-mpnet-base-v2,noise,MLP,0.3,,,0.11041009463722397,0.08502302588216692,0.08337409996021743,0.08776315789473683
refmet_embeddings,sentence-transformers/all-mpnet-base-v2,noise,KMeans,0.5,0.0002702067695415349,0.03558610429927962,,,,
refmet_embeddings,sentence-transformers/all-mpnet-base-v2,noise,LR,0.5,,,0.0749211356466877,0.060435971778435696,0.06081863646919498,0.06103070175438598
refmet_embeddings,sentence-transformers/all-mpnet-base-v2,noise,MLP,0.5,,,0.06782334384858044,0.05247899895244694,0.051321711236231214,0.053881578947368426
refmet_embeddings,sentence-transformers/all-mpnet-base-v2,noise,KMeans,0.7,0.0006264588988708322,0.03779796138516338,,,,
refmet_embeddings,sentence-transformers/all-mpnet-base-v2,noise,LR,0.7,,,0.06309148264984227,0.050941906974137516,0.05096465614974186,0.05158991228070177
refmet_embeddings,sentence-transformers/all-mpnet-base-v2,noise,MLP,0.7,,,0.06072555205047318,0.04662033077064394,0.04544673861043703,0.04822368421052632
refmet_embeddings,gpt2,noise,KMeans,0.1,0.056568635667490014,0.19076695503487534,,,,
refmet_embeddings,gpt2,noise,LR,0.1,,,0.694006309148265,0.6315043655236637,0.6556804720545799,0.6251799535603715
refmet_embeddings,gpt2,noise,MLP,0.1,,,0.6908517350157729,0.6373673295410816,0.6696028251931779,0.6228057275541796
refmet_embeddings,gpt2,noise,KMeans,0.3,0.056094286878763916,0.19397230086465655,,,,
refmet_embeddings,gpt2,noise,LR,0.3,,,0.5417981072555205,0.46935446191469915,0.48068282133401485,0.4685416666666667
refmet_embeddings,gpt2,noise,MLP,0.3,,,0.556782334384858,0.48788110721965056,0.5423390560373863,0.4867460010319918
refmet_embeddings,gpt2,noise,KMeans,0.5,0.06003553001550747,0.20009196371546242,,,,
refmet_embeddings,gpt2,noise,LR,0.5,,,0.4187697160883281,0.36739125919321447,0.3869756271673188,0.3622587719298246
refmet_embeddings,gpt2,noise,MLP,0.5,,,0.4250788643533123,0.3713656198588803,0.41739032886985183,0.366625386996904
refmet_embeddings,gpt2,noise,KMeans,0.7,0.06216696230152962,0.20072023268924538,,,,
refmet_embeddings,gpt2,noise,LR,0.7,,,0.30441640378548895,0.27553145494452547,0.3024934481559572,0.2669627192982456
refmet_embeddings,gpt2,noise,MLP,0.7,,,0.31703470031545744,0.28137546763906424,0.30870422313917223,0.2752741228070176
refmet_embeddings,sentence-transformers/all-MiniLM-L6-v2,noise,KMeans,0.1,0.11157767396334582,0.23875102078732974,,,,
refmet_embeddings,sentence-transformers/all-MiniLM-L6-v2,noise,LR,0.1,,,0.4061514195583596,0.3571787542173294,0.3766126215367996,0.3519956140350878
refmet_embeddings,sentence-transformers/all-MiniLM-L6-v2,noise,MLP,0.1,,,0.3832807570977918,0.33576130897879464,0.36095201369805713,0.32777412280701756
refmet_embeddings,sentence-transformers/all-MiniLM-L6-v2,noise,KMeans,0.3,0.001839768548230114,0.035986688653154325,,,,
refmet_embeddings,sentence-transformers/all-MiniLM-L6-v2,noise,LR,0.3,,,0.1253943217665615,0.0990212666325221,0.10559404407780862,0.10109649122807016
refmet_embeddings,sentence-transformers/all-MiniLM-L6-v2,noise,MLP,0.3,,,0.1253943217665615,0.09699207335156886,0.09578564986892749,0.09960526315789474
refmet_embeddings,sentence-transformers/all-MiniLM-L6-v2,noise,KMeans,0.5,0.0025652892889502193,0.04058610728524703,,,,
refmet_embeddings,sentence-transformers/all-MiniLM-L6-v2,noise,LR,0.5,,,0.08990536277602523,0.07459360516933693,0.08562954423082686,0.07379643962848298
refmet_embeddings,sentence-transformers/all-MiniLM-L6-v2,noise,MLP,0.5,,,0.08517350157728706,0.06482762842097926,0.06304167526541414,0.06763157894736842
refmet_embeddings,sentence-transformers/all-MiniLM-L6-v2,noise,KMeans,0.7,0.0007356983268978946,0.03609795915477139,,,,
refmet_embeddings,sentence-transformers/all-MiniLM-L6-v2,noise,LR,0.7,,,0.08123028391167192,0.06674632897428459,0.06683521046048135,0.06745614035087719
refmet_embeddings,sentence-transformers/all-MiniLM-L6-v2,noise,MLP,0.7,,,0.08123028391167192,0.0654584741545888,0.07088860922378128,0.06593201754385966
