dataset,modelname,ablation,classifier,type,ari,nmi,accuracy,f1_macro,precision,recall
NPClassifier_class,gpt2,noise,LR,0.1,,,0.4795713328868051,0.3461110531681624,0.43910050421256475,0.3310281919200406
NPClassifier_class,gpt2,noise,MLP,0.1,,,0.45986827416834114,0.35258852880757796,0.4128586383502531,0.34477712280220674
NPClassifier_class,gpt2,noise,KMeans,0.3,0.030100605119524622,0.47010512786339853,,,,
NPClassifier_class,gpt2,noise,LR,0.3,,,0.2104822505023443,0.10742433747992602,0.15577844954067308,0.10539696139459809
NPClassifier_class,gpt2,noise,MLP,0.3,,,0.25396293815583837,0.1523110048780965,0.1781323220579206,0.15724841052724878
NPClassifier_class,gpt2,noise,KMeans,0.5,0.02471690994560171,0.45093270605148056,,,,
NPClassifier_class,gpt2,noise,LR,0.5,,,0.11291582942621121,0.05024660077668732,0.06788969490967404,0.05198320424150738
NPClassifier_class,gpt2,noise,MLP,0.5,,,0.16521544987720474,0.08214674674258897,0.09200871007281528,0.08767170845967975
NPClassifier_class,gpt2,noise,KMeans,0.7,0.01862318891979439,0.43144452209212186,,,,
NPClassifier_class,gpt2,noise,LR,0.7,,,0.07295155168564411,0.02999253954429012,0.036474262002451394,0.03230278233338041
NPClassifier_class,gpt2,noise,MLP,0.7,,,0.10236659968743023,0.05339251358879803,0.058031308016265035,0.056929394519099674
NPClassifier_class,sentence-transformers/all-MiniLM-L6-v2,noise,KMeans,0.1,0.010455088530459664,0.36446281760025917,,,,
NPClassifier_class,sentence-transformers/all-MiniLM-L6-v2,noise,LR,0.1,,,0.08952891270372851,0.03700358918174561,0.040696278023898684,0.04162702765483573
NPClassifier_class,sentence-transformers/all-MiniLM-L6-v2,noise,MLP,0.1,,,0.0900312569770038,0.04228581563466492,0.04620983939607318,0.04520100328204613
NPClassifier_class,sentence-transformers/all-MiniLM-L6-v2,noise,KMeans,0.3,3.413909556359075e-05,0.32646142933035904,,,,
NPClassifier_class,sentence-transformers/all-MiniLM-L6-v2,noise,LR,0.3,,,0.01082830989060058,0.0038065849354287553,0.0034254111797815357,0.0044978688486107836
NPClassifier_class,sentence-transformers/all-MiniLM-L6-v2,noise,MLP,0.3,,,0.009600357222594329,0.0038696895377229312,0.0039942402697947495,0.004377054677054324
NPClassifier_class,sentence-transformers/all-MiniLM-L6-v2,noise,KMeans,0.5,7.688898808910142e-05,0.3321204450398737,,,,
NPClassifier_class,sentence-transformers/all-MiniLM-L6-v2,noise,LR,0.5,,,0.0047443625809332444,0.0020359480744437395,0.0019656015739553303,0.002156531336672414
NPClassifier_class,sentence-transformers/all-MiniLM-L6-v2,noise,MLP,0.5,,,0.005581603036392052,0.002682924690768846,0.0026975421910358137,0.002889654322696639
NPClassifier_class,sentence-transformers/all-MiniLM-L6-v2,noise,KMeans,0.7,-2.28929499650609e-05,0.33399999216544785,,,,
NPClassifier_class,sentence-transformers/all-MiniLM-L6-v2,noise,LR,0.7,,,0.004688546550569324,0.0023486828108586024,0.0027485268989643668,0.002304080350424094
NPClassifier_class,sentence-transformers/all-MiniLM-L6-v2,noise,MLP,0.7,,,0.004018754186202277,0.0016635854530709538,0.001625816423038989,0.0018314240580869752
