dataset,modelname,ablation,classifier,type,ari,nmi,accuracy,f1_macro,precision,recall
NPClassifier_class,gpt2,occlusion,KMeans,0.1,0.011654807476994877,0.41859518277476565,,,,
NPClassifier_class,gpt2,occlusion,LR,0.1,,,0.5592766242464836,0.44296971433961885,0.5446383310736098,0.4331184588176555
NPClassifier_class,gpt2,occlusion,MLP,0.1,,,0.5066421076133065,0.38619309728011136,0.4637699099859134,0.37624077386195115
NPClassifier_class,gpt2,occlusion,KMeans,0.3,0.007976152096307369,0.40591676476180955,,,,
NPClassifier_class,gpt2,occlusion,LR,0.3,,,0.3931681178834561,0.2658640094009241,0.3549679737191057,0.2643860953335501
NPClassifier_class,gpt2,occlusion,MLP,0.3,,,0.3120674257646796,0.16125227868515335,0.19326270578665136,0.1747932679979774
NPClassifier_class,gpt2,occlusion,KMeans,0.5,0.006019452518065906,0.3968963054345689,,,,
NPClassifier_class,gpt2,occlusion,LR,0.5,,,0.2819267693681625,0.17166971161564124,0.252532713793907,0.1770405988083031
NPClassifier_class,gpt2,occlusion,MLP,0.5,,,0.2532373297611074,0.12256015984805654,0.160489499812624,0.13307755620081843
NPClassifier_class,gpt2,occlusion,KMeans,0.7,0.005123316763546154,0.3927493848604457,,,,
NPClassifier_class,gpt2,occlusion,LR,0.7,,,0.19708640321500334,0.10542513445495108,0.15137690981547752,0.11600698150676707
NPClassifier_class,gpt2,occlusion,MLP,0.7,,,0.17866711319490958,0.06899374097094321,0.08502437693570054,0.08564412286047363
NPClassifier_class,sentence-transformers/all-MiniLM-L6-v2,occlusion,KMeans,0.1,0.09993772089612844,0.55855244491277,,,,
NPClassifier_class,sentence-transformers/all-MiniLM-L6-v2,occlusion,LR,0.1,,,0.47918062067425765,0.35847470889909405,0.4085680463842486,0.3559940922981126
NPClassifier_class,sentence-transformers/all-MiniLM-L6-v2,occlusion,MLP,0.1,,,0.5425318151373074,0.4502272378519787,0.5010701188968097,0.44072628272503833
NPClassifier_class,sentence-transformers/all-MiniLM-L6-v2,occlusion,KMeans,0.3,0.04794372566743448,0.492083503171574,,,,
NPClassifier_class,sentence-transformers/all-MiniLM-L6-v2,occlusion,LR,0.3,,,0.33232864478678276,0.21143966422801733,0.24928901749674554,0.21307711687266115
NPClassifier_class,sentence-transformers/all-MiniLM-L6-v2,occlusion,MLP,0.3,,,0.3557155615092655,0.24651970747434113,0.2728190585173904,0.24980222177989764
NPClassifier_class,sentence-transformers/all-MiniLM-L6-v2,occlusion,KMeans,0.5,0.03061785876196446,0.4580164558766454,,,,
NPClassifier_class,sentence-transformers/all-MiniLM-L6-v2,occlusion,LR,0.5,,,0.23738557713775396,0.13242778598410204,0.15281829932728047,0.1393194607361736
NPClassifier_class,sentence-transformers/all-MiniLM-L6-v2,occlusion,MLP,0.5,,,0.24659522214780086,0.14726348039988837,0.16104310440083172,0.15579436411486194
NPClassifier_class,sentence-transformers/all-MiniLM-L6-v2,occlusion,KMeans,0.7,0.01736011024298669,0.4322958622512186,,,,
NPClassifier_class,sentence-transformers/all-MiniLM-L6-v2,occlusion,LR,0.7,,,0.1458472873409243,0.07064051196737038,0.0793687970532269,0.07923342905333457
NPClassifier_class,sentence-transformers/all-MiniLM-L6-v2,occlusion,MLP,0.7,,,0.1482473766465729,0.072110298848881,0.08423235497594278,0.08184710398980001
NPClassifier_class,meta-llama/Meta-Llama-3-8B,occlusion,KMeans,0.1,0.04581908835582827,0.49002366310760853,,,,
