dataset,modelname,ablation,classifier,type,ari,nmi,accuracy,f1_macro,precision,recall
NPClassifier_pathway,sentence-transformers/all-mpnet-base-v2,noise,LR,0.1,,,0.45,0.44467003605966043,0.44235255486559205,0.45000000000000007
NPClassifier_pathway,sentence-transformers/all-mpnet-base-v2,noise,MLP,0.1,,,0.4160714285714286,0.4136080871133751,0.4134528514963298,0.41607142857142854
NPClassifier_pathway,sentence-transformers/all-mpnet-base-v2,noise,KMeans,0.3,0.0003113516587163748,0.011952049744319578,,,,
NPClassifier_pathway,sentence-transformers/all-mpnet-base-v2,noise,LR,0.3,,,0.18214285714285713,0.18301889098019158,0.18525295539426392,0.18214285714285713
NPClassifier_pathway,sentence-transformers/all-mpnet-base-v2,noise,MLP,0.3,,,0.18035714285714285,0.18190602124072913,0.18515940396799627,0.18035714285714285
NPClassifier_pathway,sentence-transformers/all-mpnet-base-v2,noise,KMeans,0.5,0.0006840455587023632,0.016352348192027497,,,,
NPClassifier_pathway,sentence-transformers/all-mpnet-base-v2,noise,LR,0.5,,,0.13035714285714287,0.13036081480184272,0.13103896313385108,0.13035714285714287
NPClassifier_pathway,sentence-transformers/all-mpnet-base-v2,noise,MLP,0.5,,,0.15178571428571427,0.1509115512711918,0.15040241026901957,0.15178571428571427
NPClassifier_pathway,sentence-transformers/all-mpnet-base-v2,noise,KMeans,0.7,8.119055459290464e-05,0.01086144401623032,,,,
NPClassifier_pathway,sentence-transformers/all-mpnet-base-v2,noise,LR,0.7,,,0.14285714285714285,0.14308870644175278,0.14368339334104813,0.14285714285714285
NPClassifier_pathway,sentence-transformers/all-mpnet-base-v2,noise,MLP,0.7,,,0.15178571428571427,0.15112849838162043,0.15061281220322623,0.15178571428571427
NPClassifier_pathway,gpt2,noise,KMeans,0.1,0.04054885307073312,0.09193977886323323,,,,
NPClassifier_pathway,gpt2,noise,LR,0.1,,,0.7410714285714286,0.7404825122785699,0.7435544661110111,0.7410714285714286
NPClassifier_pathway,gpt2,noise,MLP,0.1,,,0.7428571428571429,0.7463527651540307,0.7610585473760295,0.7428571428571429
NPClassifier_pathway,gpt2,noise,KMeans,0.3,0.04010521781779464,0.0905932469038255,,,,
NPClassifier_pathway,gpt2,noise,LR,0.3,,,0.6303571428571428,0.6284917575888064,0.6311056918972631,0.630357142857143
NPClassifier_pathway,gpt2,noise,MLP,0.3,,,0.6196428571428572,0.6184457047357247,0.6246424210703909,0.619642857142857
NPClassifier_pathway,gpt2,noise,KMeans,0.5,0.04184074175125791,0.09030478528113906,,,,
NPClassifier_pathway,gpt2,noise,LR,0.5,,,0.55,0.5528742564242418,0.5677678994734678,0.55
NPClassifier_pathway,gpt2,noise,MLP,0.5,,,0.5392857142857143,0.540712205106266,0.5428038061066192,0.5392857142857143
NPClassifier_pathway,gpt2,noise,KMeans,0.7,0.04037227698064254,0.09054403563731137,,,,
NPClassifier_pathway,gpt2,noise,LR,0.7,,,0.45357142857142857,0.45774123697827035,0.46715591995474676,0.45357142857142857
NPClassifier_pathway,gpt2,noise,MLP,0.7,,,0.4732142857142857,0.4762958093604122,0.48388486521789353,0.4732142857142857
NPClassifier_pathway,sentence-transformers/all-MiniLM-L6-v2,noise,KMeans,0.1,0.07883823766192236,0.13822027308244528,,,,
NPClassifier_pathway,sentence-transformers/all-MiniLM-L6-v2,noise,LR,0.1,,,0.4357142857142857,0.43605226215176324,0.4385837747158708,0.43571428571428567
NPClassifier_pathway,sentence-transformers/all-MiniLM-L6-v2,noise,MLP,0.1,,,0.41964285714285715,0.42161021983638286,0.42854153062811384,0.4196428571428571
NPClassifier_pathway,sentence-transformers/all-MiniLM-L6-v2,noise,KMeans,0.3,0.003224849944619777,0.01726784357698265,,,,
NPClassifier_pathway,sentence-transformers/all-MiniLM-L6-v2,noise,LR,0.3,,,0.1875,0.18634443154094474,0.18675661134653118,0.1875
NPClassifier_pathway,sentence-transformers/all-MiniLM-L6-v2,noise,MLP,0.3,,,0.2125,0.21255100478153652,0.2161099142238037,0.21249999999999997
NPClassifier_pathway,sentence-transformers/all-MiniLM-L6-v2,noise,KMeans,0.5,0.0018789674927587603,0.017195798372027695,,,,
NPClassifier_pathway,sentence-transformers/all-MiniLM-L6-v2,noise,LR,0.5,,,0.14821428571428572,0.14744918193288944,0.14745810125616024,0.14821428571428572
NPClassifier_pathway,sentence-transformers/all-MiniLM-L6-v2,noise,MLP,0.5,,,0.16785714285714284,0.1672145794300812,0.16790380132318483,0.16785714285714287
NPClassifier_pathway,sentence-transformers/all-MiniLM-L6-v2,noise,KMeans,0.7,0.0031351637762760615,0.01775786546143753,,,,
NPClassifier_pathway,sentence-transformers/all-MiniLM-L6-v2,noise,LR,0.7,,,0.16785714285714284,0.16631023310700818,0.1665768209801089,0.16785714285714284
NPClassifier_pathway,sentence-transformers/all-MiniLM-L6-v2,noise,MLP,0.7,,,0.1732142857142857,0.17329804213803632,0.17552026133626233,0.17321428571428574
